store_name,gu,type_of_business,carwash_type,address,start_work,end_work,tel_no,latitude,longtitude
디테일링랩,송파구,세차장,손세차,  송파구 중대로 215(가락동),9:00,18:00,02-404-8878,37.501239,127.126988
위례제일주유소,송파구,주유소,기계식세차,  송파구 위례서로 260(거여동),9:00,18:00,02-409-8251,37.487594,127.142056
더클래스효성(주)송파지점,송파구,정비업소,손세차,"  송파구 정의로8길 6(문정동,지하3)",9:00,18:00,02-2152-3300,37.485843,127.116162
스마트위례 에너지서비스,송파구,주유소,기계식세차,  송파구 위례중앙로 43(장지동),9:00,18:00,02-590-5386,37.475353,127.132289
(주)비아이피오토,송파구,정비업소,손세차,  송파구 송이로32길 23(문정동),9:00,18:00,02-443-1585,37.487918,127.127626
복지송파충전소,송파구,주유소,기계식세차,  송파구 위례중앙로 37(장지동),9:00,18:00,,37.475515,127.131648
삼전셀프세차,송파구,정비업소,셀프세차,  송파구 백제고분로28길 39-14(삼전동),9:00,18:00,070-7562-7668,37.499196,127.091537
워시데이,송파구,정비업소,손세차,"  송파구 석촌호수로144, 1층1호(삼전동)",9:00,18:00,,37.500709,127.092961
방이주유소,송파구,주유소,기계식세차,  송파구 위례성대로12길38(방이동),9:00,18:00,02-424-3051,37.510673,127.120801
픽스카서비스,송파구,정비업소,손세차,  송파구 마천로231(마천동),9:00,18:00,02-449-0051,37.500225,127.143624
명품세차,송파구,정비업소,손세차,  송파구 삼전로2길31(삼전동),9:00,18:00,02-416-1466,37.500489,127.087767
현대자동차풍납점,송파구,정비업소,손세차,  송파구 토성로49(풍납동),9:00,18:00,02-487-7814,37.529628,127.115881
유영자동차공업사,송파구,정비업소,손세차,  송파구 백제고분로45길38(송파동),9:00,18:00,02-419-6480,37.510917,127.107722
주식회사 리왁스인터내셔널,송파구,정비업소,손세차,  송파구 동남로23길55(오금동),9:00,18:00,02-402-3990,37.504496,127.134227
오금점기아오토큐,송파구,정비업소,손세차,  송파구 중대로294(오금동),9:00,18:00,02-402-1208,37.506599,127.1327698
오토123,송파구,정비업소,손세차,  송파구 동남로24길 39(오금동),9:00,18:00,,37.49815003,127.139938
뉴타입,송파구,정비업소,손세차,"  송파구 동남로6길 25-26,1층(문정동)",9:00,18:00,,37.488039,127.126794
안성카세차장,송파구,정비업소,손세차,  송파구 백제고분로20길 1-4(잠실동),9:00,18:00,02-421-1952,37.504152,127.086414
명품손세차장,송파구,정비업소,손세차,  송파구 송파대로44길 4(송파동),9:00,18:00,02-420-6509,37.506532,127.106752
한강에너지(주) 퍼스트주유소,송파구,주유소,기계식세차,  송파구 삼학사로 22(석촌동),9:00,18:00,02-422-2834,37.499307,127.097184
디에이치상사,송파구,정비업소,손세차,  송파구 가락로 53(석촌동),9:00,18:00,02-417-0905,37.499663,127.1021602
잠실카세차장,송파구,정비업소,손세차,  송파구 삼전로43(잠실동),9:00,18:00,02-417-5952,37.503207,127.086662
(주)삼표에너지 아시아주유소,송파구,정비업소,기계식세차,  송파구 도곡로438(잠실동),9:00,18:00,02-416-1911,37.504612,127.077394
한양카써비스,송파구,정비업소,손세차,  송파구 송이로17(송파동),9:00,18:00,02-413-9330,37.503531,127.116334
삼호카세차장,송파구,정비업소,손세차,  송파구 송이로92(가락동),9:00,18:00,02-408-9974,37.497681,127.120568
하이카자동차공업사,송파구,정비업소,손세차,  송파구 송이로169(가락동),9:00,18:00,02-448-1313,37.492363,127.125955
현대오일뱅크(주)올림픽셀프주유소,송파구,주유소,기계식세차,  송파구 위례성대로188(오금동),9:00,18:00,02-448-9804,37.509739,127.131862
(주)잠실에너지,송파구,주유소,기계식세차,  송파구 송파대로442(송파동),9:00,18:00,02-414-5010,37.506532,127.106752
상아주유소,송파구,주유소,기계식세차,  송파구 거마로82(마천동),9:00,18:00,02-409-8251,37.500126,127.147835
(주)송파오토파트,송파구,손세차,손세차,"  송파구 송파대로55(장지동,서울복합물류지상1층)",9:00,18:00,070-7510-2590,37.474165,127.123881
저스트 디테일,송파구,손세차,손세차,  송파구 중대로10길35-22(가락동),9:00,18:00,02-430-5939,37.491586,127.124792
가든파이브에너지서비스,송파구,손세차,기계식세차,  송파구 탄천동로740(장지동),9:00,18:00,02-409-5145,37.475838,127.123639
아우라게러지 잠실,송파구,손세차,손세차,  송파구 백제고분로33길4(석촌동),9:00,18:00,,37.503071,127.098917
(주)유진주유소,송파구,주유소,기계식세차,  송파구 동남로325(오금동),9:00,18:00,02-406-3956,37.504524,127.138385
형제카오토박스,송파구,정비업소,손세차,  송파구 오금로537(거여동),9:00,18:00,02-443-0854,37.493087,127.148568
백제고분로주유소,송파구,주유소,기계식세차,  송파구 오금로143(방이동),9:00,18:00,02-2202-4050,37.511069,127.111048
(주)삼표에너지 훼미리주유소,송파구,주유소,기계식세차,  송파구 중대로58(문정동),9:00,18:00,02-448-9251,37.491232,127.115356
(주)삼표에너지 우리주유소,송파구,주유소,기계식세차,  송파구 동남로153(가락동),9:00,18:00,02-3401-1588,37.49246988,127.127385
대성주유소,송파구,주유소,기계식세차,  송파구 마천로230(마천동),9:00,18:00,02-431-1991,37.500049,127.143135
홍은카센타,송파구,정비업소,손세차,  송파구 마천로101(오금동),9:00,18:00,02-406-2359,37.50675987,127.130644
(주)뉴명성산업 남성주유소,송파구,주유소,기계식세차,  송파구 백제고분로474(방이동),9:00,18:00,02-417-3501,37.512616,127.114041
에이스세차장,송파구,정비업소,손세차,  송파구 마천로207(오금동),9:00,18:00,02-401-7583,37.501644,127.141781
(주)신화에너지서울지점,송파구,주유소,기계식세차,  송파구 가락로47(석촌동),9:00,18:00,02-2202-8484,37.499519,127.101735
현대오일뱅크(주)직영 서원주유소,송파구,주유소,기계식세차,  송파구 중대로154(가락동),9:00,18:00,02-402-5928,37.495821,127.124663
